Area,Category ,Name,Phone No,Latitude,Longitude
Pritam Park Colony,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Krishna Colony,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Thapar University ,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Bhan Colony,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Balosas Inclave,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
SIdhu Palace,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Bharat Nagar,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Sai Dham,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
New Manjithia Enclave Extension,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
New Dhillon Colony,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Kartar Park Colony,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Everest Public School,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
R.T.I. Ajab Chitarkar,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Gurdeep Colony,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Ablowal Pind,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Goverment Elementary School,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
New Sanctuary Enclave and Some parts of Adarsh Nagar,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Bhadson Road,Groceries,Garg Departmental Store,9914703500,30.346543,76.457355
Pritam Park Colony,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Krishna Colony,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Thapar University ,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Bhan Colony,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Balosas Inclave,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
SIdhu Palace,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Bharat Nagar,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Sai Dham,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
New Manjithia Enclave Extension,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
New Dhillon Colony,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Kartar Park Colony,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Everest Public School,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
R.T.I. Ajab Chitarkar,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Gurdeep Colony,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Ablowal Pind,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Goverment Elementary School,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
New Sanctuary Enclave and Some parts of Adarsh Nagar,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
Bhadson Road,Groceries,Bharat Karyana Store,9463556272,30.348364,76.335531
